property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Multifamily Housing,2,43,615718,3775.4,7.8,13922609.3,30171568.4,91,145.8,94.9,149.4
Multifamily Housing,1.5,38,108010,784.7,7.3,4667489.7,1058113.8,53,131.3,56.2,139.8
Senior Living Community,2,41,75000,872.5,11.6,1932526.3,10748000,169.1,222.6,173.2,226.6
Multifamily Housing,2.5,37,72842,496.5,8.5,2355624.3,2425874.4,81.8,156.4,86.3,161.9
Senior Living Community,1,19,70370,498.4,7.1,1753054.9,4233200,85.1,132.9,89.3,137
Multifamily Housing,2.5,33,203603,1157.7,5.7,5918667.3,4405600.4,51.4,104.8,51.9,105.4
Multifamily Housing,2,50,412335,2120.8,6.7,4816679.3,25776196.7,96.2,127.5,100.5,132.1
Multifamily Housing,2.5,51,475674,2627,7.5,13254349.4,10513252.6,67.5,136.8,69.6,139.9
Multifamily Housing,2,20,125549,1225.6,9.8,6101379.6,5147367.2,89.6,179.1,93,184.3
Multifamily Housing,3,42,672000,4176.3,7.1,22604027.9,12209078.2,59.2,129.4,62.5,137.6
Multifamily Housing,3,48,81994,504.6,7.4,1298132.9,5685877.5,102.3,140.7,108,146.7
Multifamily Housing,2.5,53,160000,1091.4,6.8,5860089.4,3328385.2,57.4,124.4,60.3,129.9
Multifamily Housing,2,50,189852,1462.4,7.7,3430114.5,17454700,110,147.1,114.9,152.3
Multifamily Housing,4,88,137394,596.8,4.3,819511.3,8827499.7,70.2,84.2,74.9,89.4
K-12 School,2,24,50289,458.8,9.1,1996204.9,2772279.7,94.8,169,100.9,174.1
Multifamily Housing,3.5,53,65492,441.1,7.5,968509.8,5458012.2,108.9,143.1,115.4,149.9
Multifamily Housing,3.5,56,167500,1145.4,7.1,6903308.2,1280509.7,50.7,128,53.6,136.1
Multifamily Housing,4,67,748762,4036.8,6.5,16990289.1,26078721.6,69,120.1,71.8,123
Multifamily Housing,2.5,59,385917,2028.9,6.9,10638185.8,6939454,59.7,125.9,62,129.3
Multifamily Housing,3.5,54,55125,410.2,7.4,1947726.4,2000410.7,71.6,137,78.5,151.2
Multifamily Housing,1,23,291682,1785.6,8.4,5047596.5,14493481.4,112.5,156.9,116.8,161.5
Multifamily Housing,3,62,270321,954.2,6,4565041,4551767,57,109.8,58.3,110.4
Multifamily Housing,2.5,59,82133,433.9,7.2,1517835,3708784.8,86.7,135,90,138.8
Multifamily Housing,3.5,74,58000,588.5,10.1,3045582.5,2130219.1,89.2,185.6,89.2,185.6
Multifamily Housing,4,89,79152,604,7.6,1353356.2,7395500.2,110.5,146,115.9,151.6
K-12 School,2.5,40,130113,876.2,6.7,2983524.5,7730230,82.3,126.6,88,132.2
Retail Store,3,70,425352,1158,9.2,6597050.4,2418400,71.9,167.6,74.3,169.6
Multifamily Housing,3.5,77,101428,635.2,6.3,2010630.2,6051384.1,79.5,118.2,82.2,121
Office,2.5,38,115232,1627.1,14.1,8407942.3,5928128.5,124.4,258.3,127.6,267.4
Multifamily Housing,2.5,55,596499,2931.7,5.8,12138782.8,19527201,62.5,107.6,64.8,109.5
K-12 School,4,72,68922,328.3,4.8,871625.7,3620700,65.2,90.6,69,94.6
Multifamily Housing,1.5,38,86040,551.3,7.1,1835819.8,4985198.6,88.1,134,88.1,134
Supermarket/Grocery Store,1.5,35,179477,1741.7,30,9747304.9,4150779.7,239.4,545.2,243.9,549.9
Multifamily Housing,4,97,181723,654.7,4.4,2740381.9,4274849.5,46.7,81,48.1,82.8
Residence Hall/Dormitory,3,67,104965,793.8,7.6,2554315,5914599.6,91.1,136.8,94.6,140.5
K-12 School,4,86,90100,342.1,3.8,875946.2,3867689.9,52.6,72.3,57.1,77.2
Multifamily Housing,4,95,50100,251.3,5,578883.1,3030882.8,72.1,95.9,78,102.2
Multifamily Housing,1,24,365484,2308.4,8.6,9329868.5,16046290,95,160.8,98.9,164.4
K-12 School,2.5,38,112000,787.3,7,3236081.2,5314830.2,76.3,130.7,84.7,139.5
Multifamily Housing,3,44,165792,1142.5,7.4,5621909.4,4990184,68.8,136,71.7,140.1
Multifamily Housing,4,86,136304,558.3,4.1,1065741.6,7380531.1,62,78.7,65.7,82.3
Multifamily Housing,3,50,111293,889.3,8,2636312.6,8996829.8,104.5,151.2,111.1,158.1
Multifamily Housing,4,85,62341,347.1,5.8,1060467.6,3418261.9,75,109.8,80.4,114.6
K-12 School,3,43,82050,559,6.8,3045536.3,1574730,56.3,124.1,60,129.3
Multifamily Housing,2,23,50760,377.2,7.4,421794.8,5861699.8,123.8,144.5,131.2,152.3
Multifamily Housing,4,82,71864,361.1,5,1283334.3,3028319.9,60,94.2,61.8,94.8
